episode,total_reward,avg_wait,avg_loss,epsilon
477,-1.8031,42.55,0.000182,0.3848
478,-1.6234,37.39,0.000175,0.3841
479,-1.7219,40.82,0.000153,0.3833
480,-1.8422,39.06,0.000181,0.3825
481,-1.8656,42.43,0.000154,0.3818
482,-2.1234,55.76,0.000171,0.381
483,-1.7219,38.15,0.000161,0.3802
484,-1.9,43.7,0.000173,0.3795
485,-1.8391,42.98,0.000151,0.3787
486,-1.9047,49.06,0.000163,0.378
487,-1.7297,37.72,0.000161,0.3772
488,-2.3047,78.7,0.000145,0.3764
489,-1.7641,42.43,0.000149,0.3757
490,-2.35,95.36,0.000151,0.3749
491,-1.5813,34.25,0.00016,0.3742
492,-1.8844,44.82,0.000163,0.3734
493,-2.1094,63.1,0.000158,0.3727
494,-1.7422,38.42,0.000159,0.372
495,-1.8828,48.3,0.000153,0.3712
496,-1.9375,46.69,0.000164,0.3705
497,-1.5328,35.15,0.000135,0.3697
498,-1.8875,43.86,0.000156,0.369
499,-1.8031,40.31,0.000184,0.3682
500,-1.7875,38.95,0.00016,0.3675
